,년월,구,구별-월-승하차인원,최대승하차역,최대역-승하차인원
0,2020-01,경산시,918340,정평,17915
1,2020-01,남구,2595592,현충로,23645
2,2020-01,달서구,5786574,진천,31765
3,2020-01,달성군,1294610,화원,18485
4,2020-01,동구,3864542,해안,46379
5,2020-01,북구,3347704,학정,23883
6,2020-01,서구,722808,원대,12595
7,2020-01,수성구,4539060,황금,22781
8,2020-01,중구,5161686,청라언덕3,63035
9,2020-02,경산시,1528294,정평,16534
10,2020-02,남구,4254826,현충로,22518
11,2020-02,달서구,9381032,진천,29148
12,2020-02,달성군,2192092,화원,17816
13,2020-02,동구,6203734,해안,41558
14,2020-02,북구,5903982,학정,20324
15,2020-02,서구,1301328,원대,11992
16,2020-02,수성구,7847102,황금,21410
17,2020-02,중구,7921716,청라언덕3,60848
18,2020-03,경산시,1019732,정평,8458
19,2020-03,남구,2697570,현충로,9926
20,2020-03,달서구,6012362,진천,12282
21,2020-03,달성군,1476768,화원,8502
22,2020-03,동구,3710986,해안,13294
23,2020-03,북구,4638566,학정,9339
24,2020-03,서구,1020902,원대,7552
25,2020-03,수성구,5709504,황금,10497
26,2020-03,중구,4416954,청라언덕3,21419
27,2020-04,경산시,1276068,정평,10933
28,2020-04,남구,3343576,현충로,14747
29,2020-04,달서구,7629858,진천,18133
30,2020-04,달성군,1841272,화원,11881
31,2020-04,동구,4830198,해안,22651
32,2020-04,북구,5370052,학정,13957
33,2020-04,서구,1160070,원대,9323
34,2020-04,수성구,6745170,황금,14465
35,2020-04,중구,6140954,청라언덕3,34697
36,2020-05,경산시,1597404,정평,13265
37,2020-05,남구,4250318,현충로,17073
38,2020-05,달서구,9559284,진천,21803
39,2020-05,달성군,2301056,화원,13937
40,2020-05,동구,6267180,해안,28105
41,2020-05,북구,6334334,학정,15485
42,2020-05,서구,1362728,원대,10412
43,2020-05,수성구,8115322,황금,16309
44,2020-05,중구,8173968,청라언덕3,40572
45,2020-06,경산시,1688936,정평,15054
46,2020-06,남구,4497618,현충로,17780
47,2020-06,달서구,10295190,진천,24104
48,2020-06,달성군,2442476,화원,15226
49,2020-06,동구,6723120,해안,31184
50,2020-06,북구,6476398,학정,16740
51,2020-06,서구,1433052,원대,10709
52,2020-06,수성구,8521514,황금,17326
53,2020-06,중구,8504970,청라언덕3,43076
54,2020-07,경산시,1772172,정평,14612
55,2020-07,남구,4709588,현충로,18238
56,2020-07,달서구,10856800,진천,24208
57,2020-07,달성군,2567162,화원,15406
58,2020-07,동구,7111032,해안,33192
59,2020-07,북구,6766114,학정,16808
60,2020-07,서구,1489676,원대,10710
61,2020-07,수성구,8962058,황금,17728
62,2020-07,중구,9016224,청라언덕3,45932
63,2020-11,경산시,633356,정평,17258
64,2020-11,남구,1794364,현충로,23860
65,2020-11,달서구,3910390,진천,30804
66,2020-11,달성군,899662,화원,18104
67,2020-11,동구,2705724,해안,49736
68,2020-11,북구,2349308,학정,24270
69,2020-11,서구,497698,원대,12874
70,2020-11,수성구,3083874,황금,23122
71,2020-11,중구,3634682,청라언덕3,63330
72,2020-12,경산시,547140,정평,16880
73,2020-12,남구,1560234,현충로,26264
74,2020-12,달서구,3383682,진천,32980
75,2020-12,달성군,781754,화원,17714
76,2020-12,동구,2398920,해안,49546
77,2020-12,북구,2084526,학정,23184
78,2020-12,서구,434926,원대,12164
79,2020-12,수성구,2702540,황금,21998
80,2020-12,중구,3055182,청라언덕3,61852
