,년월,구,구별-월-승하차인원,최대승하차역,최대역-승하차인원
0,2020-01,강서구,1297130,체육공원,20123
1,2020-01,금정구,9230310,장전,41776
2,2020-01,기장군,353168,안평,4876
3,2020-01,남구,5315064,지게골,40812
4,2020-01,동구,7229150,초량,56331
5,2020-01,동래구,9183798,충렬사,50317
6,2020-01,부산진구,17624850,전포,116769
7,2020-01,북구,8298898,화명,31963
8,2020-01,사상구,5907722,주례,58439
9,2020-01,사하구,8875584,하단,48548
10,2020-01,서구,2230032,토성,23551
11,2020-01,수영구,5554258,수영,35420
12,2020-01,양산시,2183288,호포,14655
13,2020-01,연제구,9500890,종합운동장,53623
14,2020-01,중구,6283218,중앙,54149
15,2020-01,해운대구,9646054,해운대,45610
16,2020-02,강서구,1039336,체육공원,18369
17,2020-02,금정구,7002406,장전,36104
18,2020-02,기장군,300810,안평,4766
19,2020-02,남구,4204990,지게골,37148
20,2020-02,동구,5395726,초량,47523
21,2020-02,동래구,7159474,충렬사,46845
22,2020-02,부산진구,13357736,전포,106695
23,2020-02,북구,6701876,화명,30281
24,2020-02,사상구,4621404,주례,49047
25,2020-02,사하구,7159550,하단,44004
26,2020-02,서구,1744398,토성,20591
27,2020-02,수영구,4342540,수영,33824
28,2020-02,양산시,1771566,호포,14251
29,2020-02,연제구,7632618,종합운동장,49701
30,2020-02,중구,4482862,중앙,44235
31,2020-02,해운대구,7166668,해운대,39100
32,2020-03,강서구,849258,체육공원,11949
33,2020-03,금정구,4952430,장전,20840
34,2020-03,기장군,283202,안평,4182
35,2020-03,남구,3005178,지게골,21410
36,2020-03,동구,3771072,초량,26045
37,2020-03,동래구,5278808,충렬사,27245
38,2020-03,부산진구,9342854,전포,58485
39,2020-03,북구,5215386,화명,20627
40,2020-03,사상구,3415098,주례,29167
41,2020-03,사하구,5447402,하단,28442
42,2020-03,서구,1334624,토성,13941
43,2020-03,수영구,3151614,수영,21810
44,2020-03,양산시,1418838,호포,9221
45,2020-03,연제구,5714194,종합운동장,30625
46,2020-03,중구,3296258,중앙,25980
47,2020-03,해운대구,4889740,해운대,22620
48,2020-04,강서구,939818,체육공원,14407
49,2020-04,금정구,5925630,장전,25582
50,2020-04,기장군,308894,안평,4382
51,2020-04,남구,3446128,지게골,25288
52,2020-04,동구,4378884,초량,33185
53,2020-04,동래구,6221044,충렬사,34997
54,2020-04,부산진구,10997922,전포,73255
55,2020-04,북구,6020962,화명,26545
56,2020-04,사상구,3899972,주례,36493
57,2020-04,사하구,6267242,하단,33520
58,2020-04,서구,1536812,토성,16905
59,2020-04,수영구,3666410,수영,26052
60,2020-04,양산시,1626482,호포,11305
61,2020-04,연제구,6485600,종합운동장,36959
62,2020-04,중구,3875834,중앙,33486
63,2020-04,해운대구,5746660,해운대,27043
64,2020-05,강서구,1061614,체육공원,16063
65,2020-05,금정구,7262276,장전,30358
66,2020-05,기장군,328714,안평,4490
67,2020-05,남구,4088430,지게골,29618
68,2020-05,동구,5311152,초량,37315
69,2020-05,동래구,7395528,충렬사,40007
70,2020-05,부산진구,13020366,전포,79935
71,2020-05,북구,7043904,화명,27917
72,2020-05,사상구,4714972,주례,42681
73,2020-05,사하구,7275038,하단,36982
74,2020-05,서구,1759582,토성,17695
75,2020-05,수영구,4464184,수영,29140
76,2020-05,양산시,1899498,호포,12021
77,2020-05,연제구,7576664,종합운동장,39961
78,2020-05,중구,4610554,중앙,36393
79,2020-05,해운대구,7118750,해운대,32720
80,2020-06,강서구,1156018,체육공원,16631
81,2020-06,금정구,7711566,장전,33898
82,2020-06,기장군,328178,안평,4506
83,2020-06,남구,4546362,지게골,35898
84,2020-06,동구,5592784,초량,40049
85,2020-06,동래구,7879676,충렬사,42059
86,2020-06,부산진구,13893304,전포,86777
87,2020-06,북구,7403354,화명,28709
88,2020-06,사상구,5088832,주례,48303
89,2020-06,사하구,7762018,하단,39804
90,2020-06,서구,1880718,토성,18365
91,2020-06,수영구,4785018,수영,31570
92,2020-06,양산시,1952710,호포,13101
93,2020-06,연제구,8183168,종합운동장,42089
94,2020-06,중구,4744544,중앙,40039
95,2020-06,해운대구,7692870,해운대,36008
96,2020-07,강서구,1186988,체육공원,17055
97,2020-07,금정구,8006562,장전,32798
98,2020-07,기장군,336636,안평,4630
99,2020-07,남구,4775876,지게골,34268
100,2020-07,동구,5872826,초량,43825
101,2020-07,동래구,8243230,충렬사,43861
102,2020-07,부산진구,14761664,전포,90291
103,2020-07,북구,7625826,화명,28145
104,2020-07,사상구,5189648,주례,46731
105,2020-07,사하구,8034616,하단,40338
106,2020-07,서구,1959504,토성,18797
107,2020-07,수영구,5150358,수영,32312
108,2020-07,양산시,2028842,호포,12889
109,2020-07,연제구,8567538,종합운동장,42845
110,2020-07,중구,4894316,중앙,40033
111,2020-07,해운대구,8295182,해운대,37868
